run_date,target_date,symbol,company_name,weight,latest_date,previous_date,latest_close,previous_close,daily_return,direction,is_complete,is_fresh,is_qualified,is_target_date,included_in_recent_breadth,included_in_strict_breadth,source
2026-06-13,2026-06-12,ADSK,Autodesk Inc,0.0019683500000000002,2026-06-12,2026-06-11,198.43,205.57,-0.034732694459308155,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,KDP,Keurig Dr Pepper Inc,0.0019210499999999999,2026-06-12,2026-06-11,31.71,31.23,0.015369836695485084,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,TTWO,Take-Two Interactive Software Inc,0.00177805,2026-06-12,2026-06-11,211.75,212.08,-0.001556016597510479,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ALNY,Alnylam Pharmaceuticals Inc,0.00173762,2026-06-12,2026-06-11,282.85,289.39,-0.022599260513493813,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,PYPL,PayPal Holdings Inc,0.00172487,2026-06-12,2026-06-11,41.53,41.24,0.007032007759456782,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,MSTR,Strategy Inc,0.00170458,2026-06-12,2026-06-11,123.97,120.15,0.03179359134415316,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,AXON,Axon Enterprise Inc,0.00162427,2026-06-12,2026-06-11,441.73,446.2,-0.010017929179739982,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,PAYX,Paychex Inc,0.00161336,2026-06-12,2026-06-11,100.63,99.27,0.013700010073536717,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,TRI,Thomson Reuters Corp,0.00159129,2026-06-12,2026-06-11,81.41,80.25,0.014454828660436014,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ROP,Roper Technologies Inc,0.0015504299999999998,2026-06-12,2026-06-11,334.97,332.71,0.0067927023534009034,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CPRT,Copart Inc,0.00136126,2026-06-12,2026-06-11,30.75,31.06,-0.009980682549903364,down,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,GEHC,GE HealthCare Technologies Inc,0.0013311,2026-06-12,2026-06-11,65.18,64.51,0.010385986668733471,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,KHC,Kraft Heinz Co/The,0.00131969,2026-06-12,2026-06-11,24.39,24.22,0.007018992568125659,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,DXCM,Dexcom Inc,0.00131121,2026-06-12,2026-06-11,75.37,75.25,0.001594684385382017,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,WDAY,Workday Inc,0.00125878,2026-06-12,2026-06-11,130.8,130.53,0.002068490002298473,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,VRSK,Verisk Analytics Inc,0.0011366500000000001,2026-06-12,2026-06-11,183.8,182.0,0.009890109890109855,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CTSH,Cognizant Technology Solutions Corp,0.00110817,2026-06-12,2026-06-11,52.17,51.18,0.0193434935521688,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,INSM,Insmed Inc,0.0009439,2026-06-12,2026-06-11,97.85,96.72,0.011683209263854355,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,ZS,Zscaler Inc,0.00091805,2026-06-12,2026-06-11,129.52,126.11,0.027039885813971987,up,True,True,True,True,True,True,tiingo
2026-06-13,2026-06-12,CHTR,Charter Communications Inc,0.00079773,2026-06-12,2026-06-11,145.82,139.14,0.048009199367543554,up,True,True,True,True,True,True,tiingo
